date,project,sessions,users,new_users,bounce_rate,pages_per_session,avg_session_duration_seconds,impressions,clicks,ctr,cpc,ad_spend,cpm,transactions,ecommerce_conversion_rate,revenue,roas,cpa
2024-09-01,Project Alpha,1074,934,639,0.5996,3.3,114,10574,426,0.0403,1.0851,462.27,43.7176,28,0.0261,1879.2,4.065,16.51
2024-09-02,Project Alpha,1548,1274,730,0.3159,4.42,173,24819,636,0.0256,0.925,588.28,23.7028,35,0.0226,2648.39,4.502,16.81
2024-09-03,Project Alpha,1329,1074,538,0.603,2.39,90,21364,644,0.0301,1.0032,646.07,30.2411,22,0.0166,1107.66,1.714,29.37
2024-09-04,Project Alpha,1585,1376,609,0.4493,2.18,201,42636,1024,0.024,0.5048,516.93,12.1243,32,0.0202,1734.76,3.356,16.15
2024-09-05,Project Alpha,1970,1596,997,0.4559,3.24,158,33435,716,0.0214,1.2112,867.21,25.9372,29,0.0147,2277.62,2.626,29.9
2024-09-06,Project Alpha,1062,920,479,0.3322,3.24,178,20378,477,0.0234,0.8844,421.88,20.7027,16,0.0151,1313.35,3.113,26.37
2024-09-07,Project Alpha,1372,1103,515,0.5772,3.61,114,38165,829,0.0217,0.7439,616.69,16.1585,28,0.0204,2042.18,3.312,22.02
2024-09-08,Project Alpha,1175,1091,708,0.6146,2.4,135,29308,561,0.0191,1.0823,607.2,20.7179,22,0.0187,1655.01,2.726,27.6
2024-09-09,Project Alpha,1369,1216,584,0.3092,2.2,243,66317,795,0.012,0.9555,759.62,11.4544,30,0.0219,1851.8,2.438,25.32
2024-09-10,Project Alpha,1804,1449,696,0.6655,3.57,136,30107,674,0.0224,0.8161,550.07,18.2705,42,0.0233,2329.36,4.235,13.1
2024-09-11,Project Alpha,1684,1512,981,0.2797,3.28,209,23638,837,0.0354,0.7747,648.43,27.4317,46,0.0273,3162.05,4.876,14.1
2024-09-12,Project Alpha,1189,960,432,0.4152,3.24,100,15577,446,0.0286,0.6722,299.82,19.2476,18,0.0151,1354.91,4.519,16.66
2024-09-13,Project Alpha,1303,1172,798,0.7132,2.5,196,32286,691,0.0214,0.5297,366.0,11.3362,37,0.0284,2277.95,6.224,9.89
2024-09-14,Project Alpha,1278,1037,641,0.6475,3.07,94,35070,789,0.0225,0.8852,698.43,19.9153,33,0.0258,1639.78,2.348,21.16
2024-09-15,Project Alpha,1198,1123,495,0.4252,3.05,192,23056,602,0.0261,0.9307,560.26,24.3,31,0.0259,2403.77,4.29,18.07
2024-09-16,Project Alpha,1623,1505,715,0.2973,3.06,201,43582,1126,0.0258,0.7659,862.38,19.7875,35,0.0216,2507.56,2.908,24.64
2024-09-17,Project Alpha,1588,1346,873,0.453,3.17,144,27643,616,0.0223,0.6332,390.05,14.1103,48,0.0302,2997.84,7.686,8.13
2024-09-18,Project Alpha,1634,1384,778,0.3849,3.83,204,19201,514,0.0268,0.8937,459.35,23.9232,37,0.0226,2789.37,6.072,12.41
2024-09-19,Project Alpha,1473,1284,755,0.5909,2.79,230,17578,613,0.0349,0.7519,460.94,26.2226,25,0.017,1379.76,2.993,18.44
2024-09-20,Project Alpha,1285,1073,443,0.2566,2.25,116,26823,785,0.0293,0.6679,524.31,19.547,28,0.0218,2004.23,3.823,18.73
2024-09-21,Project Alpha,1105,1048,492,0.4882,3.22,187,25068,672,0.0268,0.7172,481.95,19.2257,20,0.0181,1408.3,2.922,24.1
2024-09-22,Project Alpha,1209,1031,430,0.4127,2.28,200,17970,567,0.0316,0.7398,419.44,23.3411,28,0.0232,1406.2,3.353,14.98
2024-09-23,Project Alpha,1691,1376,913,0.6296,2.67,147,37407,1002,0.0268,0.6639,665.24,17.7838,38,0.0225,1822.16,2.739,17.51
2024-09-24,Project Alpha,1383,1160,716,0.3659,3.09,196,20359,374,0.0184,0.6608,247.13,12.1386,26,0.0188,1954.69,7.91,9.5
2024-09-25,Project Alpha,1721,1446,960,0.6347,3.51,214,35382,1066,0.0301,0.9614,1024.81,28.9642,55,0.032,3226.87,3.149,18.63
2024-09-26,Project Alpha,1627,1517,1004,0.413,2.52,133,32214,905,0.0281,0.8641,781.98,24.2745,38,0.0234,2487.2,3.181,20.58
2024-09-27,Project Alpha,1240,1110,624,0.5246,2.88,174,37276,990,0.0266,0.9934,983.5,26.3843,15,0.0121,1000.67,1.017,65.57
2024-09-28,Project Alpha,1296,1050,515,0.4137,3.22,83,24266,753,0.031,0.8204,617.8,25.4595,24,0.0185,1648.27,2.668,25.74
2024-09-29,Project Alpha,1491,1346,718,0.4434,2.09,66,28685,796,0.0277,0.9795,779.68,27.1808,46,0.0309,2890.25,3.707,16.95
2024-09-30,Project Alpha,1298,1222,643,0.3273,4.26,205,19318,458,0.0237,0.6929,317.37,16.4287,18,0.0139,1423.38,4.485,17.63
2024-10-01,Project Alpha,1570,1484,676,0.5617,3.34,185,34768,993,0.0286,0.6489,644.36,18.5331,38,0.0242,2932.83,4.552,16.96
2024-10-02,Project Alpha,1693,1477,643,0.4875,2.57,103,35745,823,0.023,0.7977,656.52,18.3668,47,0.0278,2755.94,4.198,13.97
2024-10-03,Project Alpha,1486,1191,502,0.261,2.78,55,62911,950,0.0151,0.8595,816.56,12.9796,37,0.0249,2396.28,2.935,22.07
2024-10-04,Project Alpha,1357,1107,523,0.6902,3.08,188,15774,570,0.0361,0.806,459.43,29.1258,21,0.0155,1307.44,2.846,21.88
2024-10-05,Project Alpha,1473,1355,623,0.5141,4.08,206,30466,773,0.0254,0.8629,667.04,21.8946,39,0.0265,2314.66,3.47,17.1
2024-10-06,Project Alpha,1434,1322,561,0.4615,3.77,156,26751,889,0.0332,1.1492,1021.64,38.1907,25,0.0174,1507.05,1.475,40.87
